school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address
Fodiya Nursery and Primary School,AD,Primary,Private,,,9.27482,12.459127,ADSYLN01,"Fodiya Nursery and Primary School, AD State, Nigeria"
Goni Bello Islamic Education Centre,AD,Primary,Private,,,10.261597,13.277552,ADSGYL09,"Goni Bello Islamic Education Centre, AD State, Nigeria"
Sabon Dale Nursery and Primary School,AD,Primary,Private,,,10.252947,13.277256,ADSGYL09,"Sabon Dale Nursery and Primary School, AD State, Nigeria"
Bright Way Nursery and Primary School,AD,Primary,Private,,,10.203055,12.988357,ADSHNG01,"Bright Way Nursery and Primary School, AD State, Nigeria"
Anglican Nursery and Primary School,AD,Primary,Private,,,8.763462,12.152475,ADSJAD02,"Anglican Nursery and Primary School, AD State, Nigeria"
Nurul Yakin Islamiya,AD,Primary,Private,,,9.191777,12.480496,ADSYLA03,"Nurul Yakin Islamiya, AD State, Nigeria"
St Pius Catholic Primary Nusery,AD,Primary,Private,,,10.3282,13.31132,ADSMUB10,"St Pius Catholic Primary Nusery, AD State, Nigeria"
Evengel accademy,AD,Primary,Private,,,10.270264,13.256876,ADSMUB11,"Evengel accademy, AD State, Nigeria"
Community Nursery and Primary School,AD,Primary,Private,,,9.296273,12.23467,ADSYLA09,"Community Nursery and Primary School, AD State, Nigeria"
St Theresa Cri Upper Luggere,AD,Primary,Private,,,9.271376,12.447156,ADSYLN08,"St Theresa Cri Upper Luggere, AD State, Nigeria"
Sebore Primary School,AD,Primary,Private,,,10.249134,13.278134,ADSGYL09,"Sebore Primary School, AD State, Nigeria"
Upper Benue Staff School,AD,Primary,Private,,,9.672425,12.016162,ADSSHG07,"Upper Benue Staff School, AD State, Nigeria"
Hamman Yero Islamic Academy,AD,Primary,Private,,,9.054434,12.061343,ADSMWA08,"Hamman Yero Islamic Academy, AD State, Nigeria"
Improved Education School and Computer Library,AD,Primary,Private,,,9.223017,12.645869,ADSFUR03,"Improved Education School and Computer Library, AD State, Nigeria"
Madarasatul Suleiman Ribado Litaalimul Awladi Alnisai,AD,Primary,Private,,,9.2863649,12.4458486,ADSYLN03,"Madarasatul Suleiman Ribado Litaalimul Awladi Alnisai, AD State, Nigeria"
Anwarrudeen Nursery and Primary School,AD,Primary,Private,,,9.282684,12.458498,ADSYLN07,"Anwarrudeen Nursery and Primary School, AD State, Nigeria"
Lutheran Junior Seminary Mbamba,AD,Secondary,Private,,,9.18423,12.520857,ADSYLA06,"Lutheran Junior Seminary Mbamba, AD State, Nigeria"
Dodo Memorial Primary School,AD,Primary,Private,,,10.058079,13.183713,ADSMAH06,"Dodo Memorial Primary School, AD State, Nigeria"
Anglican Premier Secondary School,AD,Secondary,Private,,,8.763253,12.152356,ADSJAD02,"Anglican Premier Secondary School, AD State, Nigeria"
