id,relid,year,active_year,code_status,type_of_violence,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,deaths
42074,NIG-2011-1-793-29,2011,TRUE,Clear,1,Damboa town,"Damboa, about 100 kilometres (62 miles) south of Maiduguri",Borno state,Damboa lga,11.15604,12.75758,145826,Nigeria,NGA,475,Africa,1,1,4
42075,NIG-2011-1-793-30,2011,TRUE,Clear,1,Bauchi town,Bauchi town,Bauchi state,Bauchi lga,10.313441,9.843273,144380,Nigeria,NGA,475,Africa,1,1,14
42076,NIG-2011-1-793-31,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,3
42073,NIG-2011-1-793-32,2011,TRUE,Clear,1,Abuja city,Abjua city,Federal Capital territory,Abuja municipal area council,9.083333,7.533333,142936,Nigeria,NGA,475,Africa,1,1,4
42077,NIG-2011-1-793-33,2011,TRUE,Clear,1,Kankara town,"Kankara town, 13O kilometres (80 miles) south of the northern city of Katsina",Katsina state,Kankara lga,11.93114,7.41115,146535,Nigeria,NGA,475,Africa,1,1,7
42079,NIG-2011-1-793-34,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
42080,NIG-2011-1-793-35,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,3
42081,NIG-2011-1-793-36,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
42082,NIG-2011-1-793-37,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,6
42084,NIG-2011-1-793-38,2011,TRUE,Clear,1,Bauchi town,Bauchi town (Jahun ward),Bauchi state,Bauchi lga,10.313441,9.843273,144380,Nigeria,NGA,475,Africa,1,1,0
42078,NIG-2011-1-793-39,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
42085,NIG-2011-1-793-40,2011,TRUE,Clear,1,Alkeri town,Alkaleri town,Bauchi state,Alkeri lga,10.26606,10.33529,144381,Nigeria,NGA,475,Africa,1,1,2
42086,NIG-2011-1-793-41,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town (Kaleri Ngomari Custain neighbourhood),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,18
42087,NIG-2011-1-793-42,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,3
42089,NIG-2011-1-793-43,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
42090,NIG-2011-1-793-44,2011,TRUE,Clear,1,Maiduguri town,Maiduguri (Gomori area),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
42091,NIG-2011-1-793-46,2011,TRUE,Clear,1,Gamawa town,Gamawa,Bauchi state,Gamawa lga,12.13379,10.53785,147262,Nigeria,NGA,475,Africa,1,1,1
42088,NIG-2011-1-793-45,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
42092,NIG-2011-1-793-47,2011,TRUE,Clear,1,Tambuwal town,Tambuwal,Sokoto state,Tambuwal lga,12.40592,4.64605,147250,Nigeria,NGA,475,Africa,1,1,0
42093,NIG-2011-1-793-48,2011,TRUE,Clear,1,Maiduguri town,Maiduguri (Baga district),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,4
42094,NIG-2011-1-793-49,2011,TRUE,Clear,1,Gombi town,Gombi/Gobi,Adamawa state,Gombi lga,10.16138,12.7399,144386,Nigeria,NGA,475,Africa,1,1,20
42095,NIG-2011-1-793-50,2011,TRUE,Clear,1,Song-Yola road,along Song-Yola Road in Adamawa State,Adamawa state,,9.580717,12.566246,143666,Nigeria,NGA,475,Africa,1,1,1
42096,NIG-2011-1-793-51,2011,TRUE,Clear,1,Misau town,Misau in Bauchi state,Bauchi state,Misau lga,11.3137,10.46664,145821,Nigeria,NGA,475,Africa,1,1,5
