school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address,status
Dumga Primary Normadic School,AD,Primary,Public,,,9.234884,12.329652,ADSYLA08,"Dumga Primary Normadic School, AD State, Nigeria",Unknown
Bonanga Primary School,AD,Primary,Public,,,9.395673,11.70744,ADSNUM10,"Bonanga Primary School, AD State, Nigeria",Open
Jigawa Primary School,AD,Primary,Public,,,9.581033,12.044363,ADSNUM01,"Jigawa Primary School, AD State, Nigeria",Open
C P S Ribadu Primary,AD,Primary,Public,,,9.295977,12.708415,ADSFUR08,"C P S Ribadu Primary, AD State, Nigeria",Unknown
Wurolabai Nomadic Primary School,AD,Primary,Public,,,9.507138,12.687892,ADSFUR07,"Wurolabai Nomadic Primary School, AD State, Nigeria",Unknown
Sabirul Rashad Academy Primary Yola,AD,Primary,Private,,,9.217143,12.481263,ADSYLA04,"Sabirul Rashad Academy Primary Yola, AD State, Nigeria",Unknown
Kankala Garta Primary School,AD,Primary,Public,,,10.600022,13.502853,ADSMCH03,"Kankala Garta Primary School, AD State, Nigeria",Open
Wuro Jabbi Primary School,AD,Primary,Public,,,8.875747,12.208513,ADSJAD08,"Wuro Jabbi Primary School, AD State, Nigeria",Open
Girburum II Primary School,AD,Primary,Public,,,10.119404,13.392894,ADSGYL02,"Girburum II Primary School, AD State, Nigeria",Unknown
Wapa Primary School,AD,Primary,Public,,,9.269553,12.019048,ADSMWA04,"Wapa Primary School, AD State, Nigeria",Open
Koma Primary School,AD,Primary,Public,,,10.298295,13.314954,ADSMUB10,"Koma Primary School, AD State, Nigeria",Open
Kuva Gaya Primary School,AD,Primary,Public,,,10.430733,13.004621,ADSHNG04,"Kuva Gaya Primary School, AD State, Nigeria",Open
Furemone Primary School,AD,Primary,Public,,,10.120607,13.209039,ADSMAH07,"Furemone Primary School, AD State, Nigeria",Unknown
Lugdira Boys Primary School,AD,Primary,Public,,,10.092256,13.200641,ADSMAH06,"Lugdira Boys Primary School, AD State, Nigeria",Unknown
Mbela Lagaje Primary School,AD,Primary,Public,,,9.018017,12.010517,ADSMWA12,"Mbela Lagaje Primary School, AD State, Nigeria",Open
Kaurami Primary School,AD,Primary,Public,,,9.269154,12.033169,ADSMWA09,"Kaurami Primary School, AD State, Nigeria",Unknown
Taso Nomadic School,AD,Primary,Public,,,8.76564,11.899417,ADSMWA11,"Taso Nomadic School, AD State, Nigeria",Unknown
Jalingo Uba Primary School,AD,Primary,Public,,,10.38856,13.208864,ADSMUB03,"Jalingo Uba Primary School, AD State, Nigeria",Open
Madarasatul Nurul Islam Nursery and Primary School,AD,Primary,Faith Based,,,9.9100087,11.9412189,ADSGUY07,"Madarasatul Nurul Islam Nursery and Primary School, AD State, Nigeria",Unknown
Aisha Center For Arabic and Islamic Studies,AD,Primary,Private,,,10.271595,13.239941,ADSMUB11,"Aisha Center For Arabic and Islamic Studies, AD State, Nigeria",Unknown
Golare II Primary School,AD,Primary,Public,,,9.770476,12.584743,ADSSNG07,"Golare II Primary School, AD State, Nigeria",Open
Tasisul Islam Primary School,AD,Primary,Private,,,9.458211,12.038995,ADSDSA10,"Tasisul Islam Primary School, AD State, Nigeria",Unknown
Chaba Primary School,AD,Primary,Public,,,10.15546,13.369755,ADSGYL08,"Chaba Primary School, AD State, Nigeria",Unknown
Deben Primary School,AD,Primary,Public,,,9.880929,12.133474,ADSSHG01,"Deben Primary School, AD State, Nigeria",Open
Abubakar Isa Ahmadu Academy,AD,Primary,Private,,,10.274526,13.27943,ADSMUB05,"Abubakar Isa Ahmadu Academy, AD State, Nigeria",Open
Bushikiri II Primary School,AD,Primary,Public,,,9.635319,11.839463,ADSLMR03,"Bushikiri II Primary School, AD State, Nigeria",Unknown
Izharul Haq Islamiya Nursery and Primary School,AD,Primary,Private,,,10.237077,12.941067,ADSHNG10,"Izharul Haq Islamiya Nursery and Primary School, AD State, Nigeria",Unknown
Bright Star Academy,AD,Primary,Private,,,9.294497,12.231589,ADSYLA09,"Bright Star Academy, AD State, Nigeria",Unknown
Mallam Madugu Primary School,AD,Primary,Public,,,9.573472,12.569176,ADSGRE10,"Mallam Madugu Primary School, AD State, Nigeria",Open
Kwashini Primary School,AD,Primary,Public,,,10.415335,13.422027,ADSMUB07,"Kwashini Primary School, AD State, Nigeria",Unknown
Gods Will Academy,AD,Primary,Private,,,9.461183,12.03435,ADSNUM06,"Gods Will Academy, AD State, Nigeria",Unknown
Zah Primary School,AD,Primary,Public,,,10.460648,13.490395,ADSMCH16,"Zah Primary School, AD State, Nigeria",Open
Devine Grace Lutheran Church of Christ Nigeria Bichel,AD,Primary,Faith Based,,,9.832541,12.619312,ADSSNG07,"Devine Grace Lutheran Church of Christ Nigeria Bichel, AD State, Nigeria",Unknown
Sina Nomadic Primary School,AD,Primary,Public,,,10.568576,13.526648,ADSMCH11,"Sina Nomadic Primary School, AD State, Nigeria",Open
Leda Primary School,AD,Primary,Public,,,10.266685,12.195858,ADSSHG04,"Leda Primary School, AD State, Nigeria",Unknown
International Premier School Pakka,AD,Primary,Public,,,10.116658,13.219167,ADSMAH07,"International Premier School Pakka, AD State, Nigeria",Unknown
Damare Primary School,AD,Primary,Public,,,9.6507,12.969031,ADSFUR02,"Damare Primary School, AD State, Nigeria",Open
Manda B Nursery School,AD,Primary,Private,,,10.0990501,12.9527397,ADSHNG02,"Manda B Nursery School, AD State, Nigeria",Unknown
Bulkum Primary School,AD,Primary,Public,,,9.500291,11.797791,ADSNUM05,"Bulkum Primary School, AD State, Nigeria",Unknown
Central Primary School,AD,Primary,Public,,,9.9061606,11.9284112,ADSGUY07,"Central Primary School, AD State, Nigeria",Open
Dambara Primary School,AD,Primary,Public,,,7.908362,11.594226,ADSTNG07,"Dambara Primary School, AD State, Nigeria",Open
Gwanlura Primary School,AD,Primary,Public,,,9.793251,11.916696,ADSGUY04,"Gwanlura Primary School, AD State, Nigeria",Unknown
Njebjeba Primary School,AD,Primary,Public,,,10.144933,12.47625,ADSGMB03,"Njebjeba Primary School, AD State, Nigeria",Open
Cocin Haske Nursery and Primary School,AD,Primary,Private,,,8.700328,12.623072,ADSJAD04,"Cocin Haske Nursery and Primary School, AD State, Nigeria",Unknown
Ngbenkwe Primary School,AD,Primary,Public,,,9.404137,11.8837,ADSDSA05,"Ngbenkwe Primary School, AD State, Nigeria",Unknown
Gamu Primary School,AD,Primary,Public,,,8.272062,12.069034,ADSGAN02,"Gamu Primary School, AD State, Nigeria",Open
Kiro Primary School,AD,Primary,Public,,,10.051844,12.280994,ADSGMB02,"Kiro Primary School, AD State, Nigeria",Open
Hole Primary School,AD,Primary,Public,,,10.050114,13.188608,ADSMAH06,"Hole Primary School, AD State, Nigeria",Open
Tumuda Primary School,AD,Primary,Public,,,10.204507,13.416372,ADSGYL01,"Tumuda Primary School, AD State, Nigeria",Unknown
Horare Primary,AD,Primary,Public,,,9.293072,12.056921,ADSMWA09,"Horare Primary, AD State, Nigeria",Unknown
Konan Lauje Nomadic Primary School,AD,Primary,Public,,,9.216131,12.113567,ADSMWA09,"Konan Lauje Nomadic Primary School, AD State, Nigeria",Open
Mamukan Primary School,AD,Primary,Public,,,8.622543,12.135751,ADSJAD10,"Mamukan Primary School, AD State, Nigeria",Unknown
Boro Primary School,AD,Primary,Public,,,8.642676,12.108277,ADSJAD10,"Boro Primary School, AD State, Nigeria",Open
Ambassador Dahiru Waziri Islamiya,AD,Primary,Private,,,9.2123218,12.4779667,ADSYLA05,"Ambassador Dahiru Waziri Islamiya, AD State, Nigeria",Unknown
Muvur Primary School,AD,Primary,Public,,,10.415003,13.306299,ADSMUB08,"Muvur Primary School, AD State, Nigeria",Unknown
Sabon Gari Primary School,AD,Primary,Public,,,8.648366,12.235713,ADSJAD10,"Sabon Gari Primary School, AD State, Nigeria",Open
Salasa Primary School,AD,Primary,Public,,,9.634237,12.445208,ADSSNG09,"Salasa Primary School, AD State, Nigeria",Open
Janawri Primary School,AD,Primary,Public,,,9.371236,11.862246,ADSDSA05,"Janawri Primary School, AD State, Nigeria",Unknown
Safatawa Primary School,AD,Primary,Public,,,9.025129,12.398253,ADSFUR09,"Safatawa Primary School, AD State, Nigeria",Open
Batum Primary School,AD,Primary,Public,,,9.851882,12.3563,ADSSNG01,"Batum Primary School, AD State, Nigeria",Open
Gurun Primary School Galga,AD,Primary,Public,,,10.294726,12.440847,ADSGMB04,"Gurun Primary School Galga, AD State, Nigeria",Unknown
Lidle Primary School,AD,Primary,Public,,,10.630351,13.430825,ADSMCH10,"Lidle Primary School, AD State, Nigeria",Open
Mundra Models School Nursery and Primary,AD,Primary,Private,,,10.27951,13.284467,ADSMUB05,"Mundra Models School Nursery and Primary, AD State, Nigeria",Unknown
Kurara Primary School,AD,Primary,Public,,,10.323066,12.581797,ADSGMB08,"Kurara Primary School, AD State, Nigeria",Unknown
Zaibadari Primary School,AD,Primary,Public,,,10.621837,13.388723,ADSMCH06,"Zaibadari Primary School, AD State, Nigeria",Unknown
Madanya Primary School,AD,Primary,Public,,,10.26489,13.309341,ADSGYL08,"Madanya Primary School, AD State, Nigeria",Unknown
Luggere Primary School,AD,Primary,Public,,,9.303433,12.703635,ADSFUR08,"Luggere Primary School, AD State, Nigeria",Open
Dayiri Primary School,AD,Primary,Public,,,8.511509,11.939164,ADSGAN09,"Dayiri Primary School, AD State, Nigeria",Open
Njahili Primary School,AD,Primary,Public,,,10.739426,13.425313,ADSMDG02,"Njahili Primary School, AD State, Nigeria",Open
Muchalla Central Primary School,AD,Primary,Public,,,10.361079,13.372731,ADSMUB08,"Muchalla Central Primary School, AD State, Nigeria",Unknown
Ngurore Primary School,AD,Primary,Public,,,10.215463,12.675567,ADSGMB09,"Ngurore Primary School, AD State, Nigeria",Open
Brain Power Nursery and Primary School,AD,Primary,Private,,,8.44944,12.047559,ADSGAN03,"Brain Power Nursery and Primary School, AD State, Nigeria",Unknown
Kaptarere Primary School,AD,Primary,Public,,,9.495653,12.465926,ADSGRE06,"Kaptarere Primary School, AD State, Nigeria",Unknown
Bida Wakka Primary School,AD,Primary,Public,,,9.237131,11.934897,ADSDSA01,"Bida Wakka Primary School, AD State, Nigeria",Unknown
St Peter Nursery and Primary School Jangbumo,AD,Primary,Private,,,8.825153,12.5057216,ADSFUR05,"St Peter Nursery and Primary School Jangbumo, AD State, Nigeria",Unknown
IPS National School,AD,Primary,Private,,,10.807897,13.456835,ADSMDG03,"IPS National School, AD State, Nigeria",Unknown
Kafain Hausa Primary School Kafain Hausa,AD,Primary,Public,,,10.87626,13.54072,ADSMDG04,"Kafain Hausa Primary School Kafain Hausa, AD State, Nigeria",Unknown
Zakawan Primary School,AD,Primary,Public,,,9.667355,11.83022,ADSGUY06,"Zakawan Primary School, AD State, Nigeria",Unknown
Mbidimci Primary School,AD,Primary,Public,,,9.569452,12.411215,ADSGRE09,"Mbidimci Primary School, AD State, Nigeria",Unknown
Bali Central Primary School,AD,Primary,Public,,,9.307503,11.804694,ADSDSA08,"Bali Central Primary School, AD State, Nigeria",Open
Demsawo Primary School,AD,Primary,Public,,,9.28221,12.434942,ADSYLN09,"Demsawo Primary School, AD State, Nigeria",Unknown
Timkpwa Primary School,AD,Primary,Public,,,8.024611,11.567016,ADSTNG07,"Timkpwa Primary School, AD State, Nigeria",Unknown
Here Primary School,AD,Primary,Public,,,10.078507,12.236324,ADSGMB02,"Here Primary School, AD State, Nigeria",Unknown
Bwadai Primary School Bwadai,AD,Primary,Public,,,9.829679,12.353453,ADSSNG01,"Bwadai Primary School Bwadai, AD State, Nigeria",Unknown
Data Nomadic,AD,Primary,Public,,,9.967216,12.255587,ADSGMB02,"Data Nomadic, AD State, Nigeria",Unknown
Mbilla Girl Child Primary School,AD,Primary,Public,,,9.055451,12.055201,ADSMWA08,"Mbilla Girl Child Primary School, AD State, Nigeria",Unknown
Logolwa Primary School,AD,Primary,Public,,,9.603555,11.519362,ADSLMR09,"Logolwa Primary School, AD State, Nigeria",Unknown
Kerau 1 Primary School,AD,Primary,Public,,,9.6870413,11.8950332,ADSGUY08,"Kerau 1 Primary School, AD State, Nigeria",Unknown
Sure Foundation Nursery and Primary School Michika,AD,Primary,Private,,,10.637728,13.389222,ADSMCH07,"Sure Foundation Nursery and Primary School Michika, AD State, Nigeria",Unknown
Mayo Duken Primary School,AD,Primary,Public,,,8.034348,11.803669,ADSTNG02,"Mayo Duken Primary School, AD State, Nigeria",Unknown
Shagari Primary School,AD,Primary,Public,,,9.185931,12.477925,ADSYLA03,"Shagari Primary School, AD State, Nigeria",Unknown
Rugange Primary School,AD,Primary,Public,,,9.227901,12.513398,ADSYLA06,"Rugange Primary School, AD State, Nigeria",Open
Kelele Primary Song Gari,AD,Primary,Public,,,9.820175,12.630386,ADSSNG07,"Kelele Primary Song Gari, AD State, Nigeria",Unknown
Hildi A Primary School,AD,Primary,Public,,,10.39723,13.177928,ADSHNG05,"Hildi A Primary School, AD State, Nigeria",Unknown
Alkali Manga,AD,Primary,Public,,,8.72034,11.925845,ADSMWA03,"Alkali Manga, AD State, Nigeria",Unknown
Beloved Nursery and Primary School Song Gari,AD,Primary,Private,,,9.817895,12.623464,ADSSNG07,"Beloved Nursery and Primary School Song Gari, AD State, Nigeria",Unknown
Gongoshi Model Nomadic,AD,Primary,Public,,,9.168308,12.104451,ADSMWA09,"Gongoshi Model Nomadic, AD State, Nigeria",Unknown
Buganya Primary School,AD,Primary,Public,,,9.024096,11.835557,ADSMWA06,"Buganya Primary School, AD State, Nigeria",Open
Tahua Primary School,AD,Primary,Public,,,9.511495,12.163373,ADSDSA09,"Tahua Primary School, AD State, Nigeria",Unknown
Mubula Primary School,AD,Primary,Public,,,10.37277,13.040782,ADSHNG04,"Mubula Primary School, AD State, Nigeria",Open
Kilalai Primary School,AD,Primary,Public,,,7.914508,11.879527,ADSTNG03,"Kilalai Primary School, AD State, Nigeria",Unknown
Garikida C Primary School,AD,Primary,Public,,,10.400066,12.566223,ADSGMB05,"Garikida C Primary School, AD State, Nigeria",Unknown
Chukkol Batare Primary School,AD,Primary,Public,,,9.022451,11.995993,ADSMWA12,"Chukkol Batare Primary School, AD State, Nigeria",Open
Shinwa Primary School,AD,Primary,Public,,,10.189696,13.40497,ADSGYL01,"Shinwa Primary School, AD State, Nigeria",Open
Yelwa Primary School,AD,Primary,Public,,,8.505511,11.97875,ADSGAN09,"Yelwa Primary School, AD State, Nigeria",Open
Christ The Foundation Group of Schools,AD,Primary,Private,,,10.231445,12.932237,ADSHNG06,"Christ The Foundation Group of Schools, AD State, Nigeria",Unknown
Primary School Shebulur,AD,Primary,Public,,,9.81646,12.1751,ADSSNG10,"Primary School Shebulur, AD State, Nigeria",Unknown
Jalingo Primary School,AD,Primary,Public,,,8.757945,12.358171,ADSJAD07,"Jalingo Primary School, AD State, Nigeria",Open
Waranki Primary School Michika,AD,Primary,Public,,,10.645087,13.415207,ADSMCH08,"Waranki Primary School Michika, AD State, Nigeria",Open
Gongoshi III Primary School,AD,Primary,Public,,,9.300467,12.133939,ADSYLA11,"Gongoshi III Primary School, AD State, Nigeria",Open
Model Nursery and Primary School,AD,Primary,Private,,,9.056947,12.05939,ADSMWA08,"Model Nursery and Primary School, AD State, Nigeria",Unknown
Dutse Maka Primary School,AD,Primary,Public,,,9.533199,11.613637,ADSLMR09,"Dutse Maka Primary School, AD State, Nigeria",Unknown
Mayo Bani Central Primary School,AD,Primary,Public,,,10.438207,13.241429,ADSMUB06,"Mayo Bani Central Primary School, AD State, Nigeria",Unknown
Bayan Dutse I Primary School,AD,Primary,Public,,,9.639999,11.979887,ADSSHG03,"Bayan Dutse I Primary School, AD State, Nigeria",Unknown
Brishi Shuwa Primary School,AD,Primary,Public,,,10.695645,13.451558,ADSMDG02,"Brishi Shuwa Primary School, AD State, Nigeria",Unknown
Guyaku Pilot Primary School,AD,Primary,Public,,,10.334975,12.664586,ADSGMB08,"Guyaku Pilot Primary School, AD State, Nigeria",Open
Excel International Academy,AD,Primary,Private,,,9.452574,12.030544,ADSNUM09,"Excel International Academy, AD State, Nigeria",Open
Falu II Primary School,AD,Primary,Public,,,9.854935,11.839006,ADSGUY05,"Falu II Primary School, AD State, Nigeria",Open
Gyakan Primary School,AD,Primary,Public,,,9.486785,11.536575,ADSLMR09,"Gyakan Primary School, AD State, Nigeria",Open
Primary School Gang Yaki G,AD,Primary,Public,,,8.74801,11.99162,ADSMWA03,"Primary School Gang Yaki G, AD State, Nigeria",Unknown
LGEA Primary School Tubto,AD,Primary,Public,,,9.613316,11.65813,ADSLMR06,"LGEA Primary School Tubto, AD State, Nigeria",Unknown
Kiri Fulani Primary School,AD,Primary,Public,,,9.0921956,12.2137736,ADSFUR06,"Kiri Fulani Primary School, AD State, Nigeria",Unknown
Tingno I Primary School,AD,Primary,Public,,,9.542992,11.689374,ADSLMR10,"Tingno I Primary School, AD State, Nigeria",Unknown
Gukilba Primary School,AD,Primary,Public,,,10.405303,13.085417,ADSHNG04,"Gukilba Primary School, AD State, Nigeria",Unknown
Girls Nursery and Primary School,AD,Primary,Public,,,10.160909,12.747128,ADSGMB07,"Girls Nursery and Primary School, AD State, Nigeria",Unknown
Bille Central Primary School,AD,Primary,Public,,,9.264694,11.899521,ADSDSA01,"Bille Central Primary School, AD State, Nigeria",Unknown
Gudure Primary School,AD,Primary,Public,,,9.832677,12.613038,ADSSNG07,"Gudure Primary School, AD State, Nigeria",Open
Wuro Marafa Primary School,AD,Primary,Public,,,9.550909,12.847722,ADSFUR10,"Wuro Marafa Primary School, AD State, Nigeria",Open
Lamido Barkindo Aliyu Musdafa Academy Gasol,AD,Primary,Public,,,9.2168887,12.473819,ADSYLA05,"Lamido Barkindo Aliyu Musdafa Academy Gasol, AD State, Nigeria",Unknown
Mayo Kum Primary School,AD,Primary,Public,,,8.138142,12.045513,ADSTNG10,"Mayo Kum Primary School, AD State, Nigeria",Unknown
Dukul Primary School I,AD,Primary,Public,,,9.913274,11.861592,ADSGUY05,"Dukul Primary School I, AD State, Nigeria",Unknown
Al Omega Primary School Warri,AD,Primary,Private,,,8.766309,12.662611,ADSJAD05,"Al Omega Primary School Warri, AD State, Nigeria",Unknown
Kogin Baba Centarl Primary School,AD,Primary,Public,,,7.901477,11.531476,ADSTNG06,"Kogin Baba Centarl Primary School, AD State, Nigeria",Unknown
Muduvu Primary School,AD,Primary,Public,,,10.799603,13.592439,ADSMDG10,"Muduvu Primary School, AD State, Nigeria",Open
Dimkemi Primary School,AD,Primary,Public,,,8.726138,12.542378,ADSJAD07,"Dimkemi Primary School, AD State, Nigeria",Open
Fachi Primary School,AD,Primary,Public,,,10.144233,12.784117,ADSHNG11,"Fachi Primary School, AD State, Nigeria",Unknown
Bilachi Primary School Anguwan Mission,AD,Primary,Public,,,9.3761017,12.848245,ADSFUR10,"Bilachi Primary School Anguwan Mission, AD State, Nigeria",Unknown
Barata Primary School,AD,Primary,Public,,,9.978045,12.026916,ADSSHG06,"Barata Primary School, AD State, Nigeria",Open
Gangsanji Primary School,AD,Primary,Public,,,8.645024,12.077564,ADSJAD09,"Gangsanji Primary School, AD State, Nigeria",Unknown
Kagii Nursery and Primary School,AD,Primary,Public,,,10.145378,13.220258,ADSGYL10,"Kagii Nursery and Primary School, AD State, Nigeria",Unknown
Maraba Bokki Primary School,AD,Primary,Public,,,10.050667,12.667499,ADSGMB09,"Maraba Bokki Primary School, AD State, Nigeria",Unknown
Kalaa B Primary School,AD,Primary,Public,,,10.250817,13.016235,ADSHNG01,"Kalaa B Primary School, AD State, Nigeria",Open
Saminaka Primary School,AD,Primary,Public,,,9.278747,12.362884,ADSYLA08,"Saminaka Primary School, AD State, Nigeria",Unknown
Ribadu Primary School,AD,Primary,Public,,,9.64321,12.862078,ADSFUR02,"Ribadu Primary School, AD State, Nigeria",Open
Gangwaja Primary School,AD,Primary,Public,,,8.518735,12.102345,ADSJAD10,"Gangwaja Primary School, AD State, Nigeria",Open
Mbundu Primary School,AD,Primary,Public,,,9.803346,12.548661,ADSSNG07,"Mbundu Primary School, AD State, Nigeria",Unknown
Zuche Primary School,AD,Primary,Public,,,9.196616,11.786933,ADSMWA05,"Zuche Primary School, AD State, Nigeria",Open
Merit International Academy,AD,Primary,Private,,,9.305456,12.471388,ADSGRE02,"Merit International Academy, AD State, Nigeria",Open
Mautech Staff Primary School Yola,AD,Primary,Public,,,9.345813,12.506993,ADSGRE04,"Mautech Staff Primary School Yola, AD State, Nigeria",Unknown
Kosa Primary School,AD,Primary,Public,,,8.779604,11.906945,ADSMWA11,"Kosa Primary School, AD State, Nigeria",Unknown
LGEA Primary School Luggere,AD,Primary,Public,,,9.496596,11.683606,ADSLMR10,"LGEA Primary School Luggere, AD State, Nigeria",Unknown
Kawu Nursery and Primary School,AD,Primary,Private,,,9.114156,12.88203,ADSFUR04,"Kawu Nursery and Primary School, AD State, Nigeria",Unknown
Bijibiji Primary School,AD,Primary,Public,,,10.081518,12.671507,ADSGMB09,"Bijibiji Primary School, AD State, Nigeria",Unknown
Kikan Primary School,AD,Primary,Public,,,9.475401,11.982484,ADSNUM05,"Kikan Primary School, AD State, Nigeria",Open
Burawo Primary School,AD,Primary,Public,,,9.834433,12.628058,ADSSNG07,"Burawo Primary School, AD State, Nigeria",Open
Tingno Kogi Primary School,AD,Primary,Public,,,9.506592,11.734079,ADSLMR05,"Tingno Kogi Primary School, AD State, Nigeria",Open
Bantaje Primary School,AD,Primary,Public,,,9.148552,12.476721,ADSYLA03,"Bantaje Primary School, AD State, Nigeria",Open
Krista Primary School Bobini,AD,Primary,Public,,,9.9911709,11.9025632,ADSGUY02,"Krista Primary School Bobini, AD State, Nigeria",Unknown
Magdari Primary School,AD,Primary,Public,,,9.666782,12.946776,ADSFUR02,"Magdari Primary School, AD State, Nigeria",Unknown
Bello Maaji Primary School,AD,Primary,Public,,,8.751201,12.146926,ADSJAD02,"Bello Maaji Primary School, AD State, Nigeria",Unknown
Wuro Babba Primary School,AD,Primary,Public,,,9.729119,12.733763,ADSSNG04,"Wuro Babba Primary School, AD State, Nigeria",Open
Kada Primary School,AD,Primary,Public,,,9.370012,11.931571,ADSDSA05,"Kada Primary School, AD State, Nigeria",Unknown
Bali II Primary School,AD,Primary,Public,,,9.295058,11.807469,ADSDSA08,"Bali II Primary School, AD State, Nigeria",Open
Lappare Primary School,AD,Primary,Public,,,8.225724,12.179222,ADSTNG10,"Lappare Primary School, AD State, Nigeria",Unknown
Wuroyode Gurin Primary School,AD,Primary,Public,,,9.116357,12.870551,ADSFUR04,"Wuroyode Gurin Primary School, AD State, Nigeria",Unknown
Ungul Primary School,AD,Primary,Public,,,10.181149,12.279577,ADSGMB10,"Ungul Primary School, AD State, Nigeria",Unknown
Mayo Vamde Primary School,AD,Primary,Public,,,9.713943,13.112623,ADSMAH09,"Mayo Vamde Primary School, AD State, Nigeria",Unknown
Chikila I Primary School,AD,Primary,Public,,,9.78211,11.908221,ADSGUY04,"Chikila I Primary School, AD State, Nigeria",Open
Wurogayadi Primary School,AD,Primary,Public,,,10.731251,13.38062,ADSMDG05,"Wurogayadi Primary School, AD State, Nigeria",Unknown
Tabongo Primary School,AD,Primary,Public,,,9.467621,12.328674,ADSGRE03,"Tabongo Primary School, AD State, Nigeria",Unknown
Marware Primary School,AD,Primary,Public,,,9.490697,12.998019,ADSFUR02,"Marware Primary School, AD State, Nigeria",Unknown
Gella I Primary School,AD,Primary,Public,,,10.155065,13.300346,ADSGYL03,"Gella I Primary School, AD State, Nigeria",Unknown
Bwoi Primary School,AD,Primary,Public,,,9.391853,11.534292,ADSNUM03,"Bwoi Primary School, AD State, Nigeria",Open
Purokayo II Primary School,AD,Primary,Public,,,9.913352,11.97726,ADSGUY10,"Purokayo II Primary School, AD State, Nigeria",Unknown
Lamorde Primary School,AD,Primary,Public,,,10.247383,13.255982,ADSGYL06,"Lamorde Primary School, AD State, Nigeria",Unknown
International Comprehensive School,AD,Primary,Public,,,10.06185,13.181799,ADSMAH06,"International Comprehensive School, AD State, Nigeria",Unknown
Pakorgel Primary School,AD,Primary,Public,,,8.791166,12.164756,ADSJAD03,"Pakorgel Primary School, AD State, Nigeria",Unknown
Wuro Jauro Abdul Primary School,AD,Primary,Public,,,9.411457,12.026832,ADSDSA10,"Wuro Jauro Abdul Primary School, AD State, Nigeria",Unknown
Pariya A Primary School,AD,Primary,Public,,,9.380205,12.700994,ADSFUR07,"Pariya A Primary School, AD State, Nigeria",Open
Furo Primary School,AD,Primary,Public,,,9.449948,12.6992,ADSFUR07,"Furo Primary School, AD State, Nigeria",Open
Zatun Nidaquaini Islamic,AD,Primary,Private,,,9.200556,12.457645,ADSYLA03,"Zatun Nidaquaini Islamic, AD State, Nigeria",Unknown
Makera A Primary School,AD,Primary,Public,,,10.281004,13.07137,ADSHNG07,"Makera A Primary School, AD State, Nigeria",Unknown
Sintere Primary School,AD,Primary,Public,,,9.9783988,12.4163025,ADSSNG03,"Sintere Primary School, AD State, Nigeria",Unknown
Bang Primary School,AD,Primary,Public,,,9.321969,11.57497,ADSNUM02,"Bang Primary School, AD State, Nigeria",Unknown
Nomadic Primary School,AD,Primary,Public,,,10.09577,13.119408,ADSMAH05,"Nomadic Primary School, AD State, Nigeria",Unknown
Madko Primary School,AD,Primary,Public,,,10.095226,13.247889,ADSMAH07,"Madko Primary School, AD State, Nigeria",Open
Ndinkong Primary School,AD,Primary,Public,,,9.16918,12.2018,ADSMWA09,"Ndinkong Primary School, AD State, Nigeria",Unknown
Mandaka Primary School,AD,Primary,Public,,,10.921963,13.57896,ADSMDG09,"Mandaka Primary School, AD State, Nigeria",Open
Isali International Academy Yola,AD,Primary,Private,,,9.197074,12.475977,ADSYLA03,"Isali International Academy Yola, AD State, Nigeria",Unknown
Primary School Lirba,AD,Primary,Public,,,10.3195,13.40039,ADSMUB08,"Primary School Lirba, AD State, Nigeria",Unknown
Duchidama Primary,AD,Primary,Public,,,10.166012,12.965676,ADSHNG02,"Duchidama Primary, AD State, Nigeria",Unknown
Kwatalap Primary School,AD,Primary,Public,,,10.468456,13.385627,ADSMUB07,"Kwatalap Primary School, AD State, Nigeria",Unknown
Yambule Primary School,AD,Primary,Public,,,10.600448,13.363025,ADSMCH05,"Yambule Primary School, AD State, Nigeria",Open
Belel I Primary School,AD,Primary,Public,,,9.663127,13.223658,ADSMAH01,"Belel I Primary School, AD State, Nigeria",Unknown
Namba Christian School,AD,Primary,Private,,,9.423227,12.137988,ADSDSA03,"Namba Christian School, AD State, Nigeria",Unknown
Mai Hula Primary School,AD,Primary,Public,,,8.206287,12.122019,ADSTNG10,"Mai Hula Primary School, AD State, Nigeria",Unknown
Jere Karal Primary School,AD,Primary,Public,,,9.484112,12.40732,ADSGRE03,"Jere Karal Primary School, AD State, Nigeria",Open
Sabon Gari Primary School,AD,Primary,Public,,,9.217194,12.656412,ADSFUR03,"Sabon Gari Primary School, AD State, Nigeria",Open
Pessi Primary School,AD,Primary,Public,,,8.451981,12.130341,ADSGAN04,"Pessi Primary School, AD State, Nigeria",Unknown
Gabun Primary School,AD,Primary,Public,,,10.188434,12.370327,ADSGMB04,"Gabun Primary School, AD State, Nigeria",Unknown
Rigid Primary School,AD,Primary,Public,,,10.062861,12.289502,ADSGMB02,"Rigid Primary School, AD State, Nigeria",Unknown
Bolon Primary School,AD,Primary,Public,,,9.408238,11.995223,ADSDSA05,"Bolon Primary School, AD State, Nigeria",Open
Gangzamanu Primary School,AD,Primary,Public,,,8.218085,12.096925,ADSTNG10,"Gangzamanu Primary School, AD State, Nigeria",Open
Gadawalo Wol Primary School,AD,Primary,Public,,,9.502004,12.567961,ADSGRE10,"Gadawalo Wol Primary School, AD State, Nigeria",Unknown
