school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address,status
Komsiri Primary School,AD,Primary,Public,,,8.721094,12.057897,ADSJAD09,"Komsiri Primary School, AD State, Nigeria",Unknown
Garin Alhaji Primary School,AD,Primary,Public,,,9.2508795,12.9062685,ADSFUR04,"Garin Alhaji Primary School, AD State, Nigeria",Unknown
Global City Academy,AD,Primary,Private,,,10.264252,13.259822,ADSGYL06,"Global City Academy, AD State, Nigeria",Open
Solid Step Foundation Nursery and Primary School,AD,Primary,Private,,,10.311223,13.155081,ADSHNG09,"Solid Step Foundation Nursery and Primary School, AD State, Nigeria",Unknown
LGEA Primary School Goyekizza,AD,Primary,Public,,,9.634906,11.5926939,ADSLMR06,"LGEA Primary School Goyekizza, AD State, Nigeria",Unknown
Majalisa Primary School,AD,Primary,Public,,,9.276919,12.460777,ADSYLN04,"Majalisa Primary School, AD State, Nigeria",Open
Namjo Primary School,AD,Primary,Public,,,9.064821,12.000136,ADSMWA12,"Namjo Primary School, AD State, Nigeria",Unknown
Dolom Primary School Dolom,AD,Primary,Public,,,9.806687,12.339916,ADSSNG01,"Dolom Primary School Dolom, AD State, Nigeria",Unknown
Sabongari Primary School,AD,Primary,Public,,,9.334522,12.50772,ADSGRE04,"Sabongari Primary School, AD State, Nigeria",Open
Kerau II Primary School,AD,Primary,Public,,,9.697797,11.903565,ADSGUY08,"Kerau II Primary School, AD State, Nigeria",Open
Gangworen Primary School,AD,Primary,Public,,,8.28709,11.791155,ADSTNG01,"Gangworen Primary School, AD State, Nigeria",Unknown
Wammi LGEA Primary School,AD,Primary,Public,,,9.629905,11.724167,ADSLMR06,"Wammi LGEA Primary School, AD State, Nigeria",Unknown
Kanzul Islamic Nursery and Primary School,AD,Primary,Private,,,9.199367,12.485384,ADSYLA10,"Kanzul Islamic Nursery and Primary School, AD State, Nigeria",Unknown
Buzza Nursery School,AD,Primary,Private,,,10.1763589,12.8162235,ADSHNG11,"Buzza Nursery School, AD State, Nigeria",Unknown
