id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
42062,NIG-2011-1-793-17,2011,True,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 27 February 2011 ""Nigeria police kill Islamist sect financier",,,,police,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-02-27 00:00:00.000,2011-02-27 00:00:00.000,0,0,0,1,1,1,1,475.0,
42063,NIG-2011-1-793-19,2011,True,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 3 March 2011 ""Suspected Islamists kill two police in Nigeria",,,,Borno state police commissioner Mohammed Jinjiri Abubakar,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-03-01 00:00:00.000,2011-03-01 00:00:00.000,2,1,0,0,3,3,3,475.0,
42064,NIG-2011-1-793-20,2011,True,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 29 March 2011 ""Nigerian police intercept bomb-carrying suspected Islamists",,,,"Zakai Adamu, state assistant police commissioner for Borno state",1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-03-29 00:00:00.000,2011-03-29 00:00:00.000,0,1,0,0,1,1,1,475.0,
42065,NIG-2011-1-793-21,2011,True,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Associated Press Newswires 15 April 2011 ""Police in northern Nigeria accuse radical Muslim sect of killing 2 day before election""; Xinhua News Agency 15 April 2011 ""1st LD Writethru: 2 killed, 7 injured in attack in north Nigeria",,,,Borno State Police Commissioner Michael Zuokumor,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-04-15 00:00:00.000,2011-04-15 00:00:00.000,0,0,0,0,0,2,0,475.0,
42066,NIG-2011-1-793-22,2011,True,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Radio Nigeria-Abuja/BBC 22 April 2011 ""Three die following 20 April explosion in northern Nigeria",,,,,1,Maiduguri town,Maiduguri,Borno state,Maiduguri lga,11.84644,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-04-20 00:00:00.000,2011-04-20 00:00:00.000,0,0,0,0,0,3,0,475.0,
42067,NIG-2011-1-793-23,2011,True,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 14 May 2011 ""Blast kills two in northeastern Nigeria: police",,,,"police chief for Borno State, Mohamed Jinjiri Abubakar",1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-05-13 00:00:00.000,2011-05-13 00:00:00.000,0,0,2,0,2,2,2,475.0,
42068,NIG-2011-1-793-24,2011,True,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 17 May 2011 ""Nigeria arrests 150 after army ambush""; Reuters News 19 May 2011 ""UPDATE 2-Nigerian bomb blast injures five police, soldiers",,,,army spokesman Lieutenant Abdullahi Muhammad,1,Maiduguri town,Maiduguri town (Gwange district),Borno state,Maiduguri lga,11.84644,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-05-15 00:00:00.000,2011-05-15 00:00:00.000,4,0,0,0,4,4,4,475.0,
42070,NIG-2011-1-793-25,2011,True,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 19 May 2011 ""Nigerian 'Islamists' attack police station",,,,"police commissioner for Borno state, Mohamed Jinjiri Abubakar",1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-05-18 00:00:00.000,2011-05-18 00:00:00.000,1,0,2,0,3,3,3,475.0,
42072,NIG-2011-1-793-28,2011,True,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Associated Press Newswires 24 May 2011 ""Nigerian police say radical Muslim sect kills patrol officer in restive northeast",,,,Borno State police chief,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,POINT (13.16027423 11.84644069),146547,Nigeria,NGA,475,Africa,1,1,2011-05-23 00:00:00.000,2011-05-23 00:00:00.000,1,0,0,0,1,1,1,475.0,
42074,NIG-2011-1-793-29,2011,True,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Agence France-Presse (AFP) 28 May 2011 ""Suspected Islamists kill eight in northern Nigeria:police",,,,Borno State police commissioner Mohammed Jinjiri Abubakar,1,Damboa town,"Damboa, about 100 kilometres (62 miles) south of Maiduguri",Borno state,Damboa lga,11.15604,12.75758,POINT (12.75758 11.15604),145826,Nigeria,NGA,475,Africa,1,1,2011-05-27 00:00:00.000,2011-05-27 00:00:00.000,4,0,0,0,4,8,4,475.0,
